,Nombre_Dia,Cantidad_Juegos,Score_Max,Score_Min,Score_Prom,Score_Mediana,Score_Mad,Score_Jugadores_Max,Score_Jugadores_Min,Score_Jugadores_Prom,Score_Jugadores_Mediana,Score_Jugadores_Mad,Criticos_Sum,Criticos_Prom,Criticos_Mediana,Usuarios_Sum,Usuarios_Prom,Usuarios_Mediana
0,Dom,532,97,24,72.07330827067669,74.0,10.714412911979194,92.0,0.0,65.61466165413533,74.0,17.662367855729553,13053,24.535714285714285,18.0,63308,119.0,23.5
1,Jue,2276,97,19,71.05843585237258,73.0,8.944298031572671,97.0,0.0,63.515817223198596,71.5,16.652509876112315,39458,17.336555360281196,13.0,224473,98.62609841827768,22.0
2,Lun,2211,99,16,71.28448665762099,73.0,10.08210867867807,97.0,0.0,66.3374038896427,75.0,17.187785835429565,48897,22.115332428765264,18.0,358200,162.00814111261872,22.0
3,Mar,8898,98,11,70.10890087660148,72.0,9.715114369537915,98.0,0.0,65.28197347718589,71.0,14.702897340408144,224036,25.178242301640818,20.0,1566828,176.08766014834794,34.5
4,Mie,2082,98,17,69.35206532180595,71.0,10.196693491903982,97.0,0.0,64.28722382324688,73.0,17.54803489218691,42596,20.459173871277617,16.0,187023,89.82853025936599,20.0
5,Sab,143,94,38,71.4965034965035,72.0,10.395227150471904,90.0,0.0,67.91608391608392,75.0,15.75255513717052,2530,17.692307692307693,14.0,16029,112.0909090909091,22.0
6,Vie,1802,97,17,70.4173140954495,72.0,9.694810674044502,97.0,0.0,63.03218645948946,69.0,15.86608171214374,44830,24.877913429522753,16.0,684826,380.03662597114317,40.0
